film_id,title,description,release_year,rating,length,rental_duration,rental_rate,replacement_cost,special_features,actor_id,first_name,last_name
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",188,ROCK,DUKAKIS
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",198,MARY,KEITEL
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",162,OPRAH,KILMER
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",1,PENELOPE,GUINESS
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",10,CHRISTIAN,GABLE
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",20,LUCILLE,TRACY
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",30,SANDRA,PECK
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",40,JOHNNY,CAGE
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",53,MENA,TEMPLE
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,PG,86,6,0.99,20.99,"Deleted Scenes,Behind the Scenes",108,WARREN,NOLTE
